Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,AT concentration,Temperature,pH,Qm
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,2,0.20284
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,3,0.364764
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,4,0.463772
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,5,0.628784
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,6,0.587097
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,7,0.564516
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,8,0.552357
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,9,0.505459
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,10,0.427295
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,11,0.192804
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,12,0.067741
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,6.8,0.606
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,6.8,0.646
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,6.8,0.615
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,6.8,0.639
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,6.8,0.589
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,6.8,0.643
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,6.8,0.631
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,3,0.607805
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,3,0.548049
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,3,0.529268
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,3,0.505366
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,3,0.387561
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,3,0.303902
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,5,0.628293
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,5,0.476341
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,5,0.351707
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,5,0.119512
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,5,0.126341
1000,0.045,1,444.44,-1.37,7.7,1690,2.5,5,27,5,0.037561
28,,0,361.368,-0.39,7.9,,1,1,25,,0.735294
28,,0,361.368,-0.39,7.9,,1,2,25,,0.919118
28,,0,361.368,-0.39,7.9,,1,5,25,,1.40931
28,,0,361.368,-0.39,7.9,,1,10,25,,2.1201
28,,0,361.368,-0.39,7.9,,1,15,25,,2.86765
28,,0,361.368,-0.39,7.9,,1,20,25,,3.66422
28,,0,361.368,-0.39,7.9,,1,25,25,,4.20343
28,,0,361.368,-0.39,7.9,,1,30,25,,4.41176
48,,0,361.368,-0.39,7.9,,1,1,25,,0.57598
48,,0,361.368,-0.39,7.9,,1,2,25,,0.661765
48,,0,361.368,-0.39,7.9,,1,5,25,,1.0049
48,,0,361.368,-0.39,7.9,,1,10,25,,1.55637
48,,0,361.368,-0.39,7.9,,1,15,25,,2.27941
48,,0,361.368,-0.39,7.9,,1,20,25,,2.79412
48,,0,361.368,-0.39,7.9,,1,25,25,,3.52941
48,,0,361.368,-0.39,7.9,,1,30,25,,4.01961
75,20.1,0,361.368,-0.39,7.9,,1,1,25,,0.416667
75,20.1,0,361.368,-0.39,7.9,,1,2,25,,0.539216
75,20.1,0,361.368,-0.39,7.9,,1,5,25,,0.906863
75,20.1,0,361.368,-0.39,7.9,,1,10,25,,1.3848
75,20.1,0,361.368,-0.39,7.9,,1,15,25,,1.98529
75,20.1,0,361.368,-0.39,7.9,,1,20,25,,2.51225
75,20.1,0,361.368,-0.39,7.9,,1,25,25,,3.33333
75,20.1,0,361.368,-0.39,7.9,,1,30,25,,3.82353
250,,0,361.368,-0.39,7.9,,1,1,25,,0.392157
250,,0,361.368,-0.39,7.9,,1,2,25,,0.477941
250,,0,361.368,-0.39,7.9,,1,5,25,,0.845588
250,,0,361.368,-0.39,7.9,,1,10,25,,1.20098
250,,0,361.368,-0.39,7.9,,1,15,25,,1.66667
250,,0,361.368,-0.39,7.9,,1,20,25,,2.27941
250,,0,361.368,-0.39,7.9,,1,25,25,,3.00245
250,,0,361.368,-0.39,7.9,,1,30,25,,3.57843
590,,0,361.368,-0.39,7.9,,1,1,25,,0.294118
590,,0,361.368,-0.39,7.9,,1,2,25,,0.441176
590,,0,361.368,-0.39,7.9,,1,5,25,,0.710784
