Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logKl
150,0.2341,0,253.28,0.79,5.7,610,2.5,25,,2.772101569
28,,1,361.368,-0.39,7.9,,1,25,,-1.397505931
48,,1,361.368,-0.39,7.9,,1,25,,-1.815592515
75,20.1,1,361.368,-0.39,7.9,,1,25,,-2.164943898
250,,1,361.368,-0.39,7.9,,1,25,,-2.732828272
590,,1,361.368,-0.39,7.9,,1,25,,-2.950781977
28,,1,361.37,-0.4,8.15,3230,1,25,,-1.394910538
48,,1,361.37,-0.4,8.15,3230,1,25,,-1.869344651
75,20.1,1,361.37,-0.4,8.15,3230,1,25,,-2.250263684
250,,1,361.37,-0.4,8.15,3230,1,25,,-2.896196279
590,,1,361.37,-0.4,8.15,3230,1,25,,-2.123782159
74,3.85,0,478.88,-0.62,7.4,,2,25,7,0.064457989
74,1.12,0,478.88,-0.62,7.4,,2,25,7,-0.281498311
74,0.401,1,419.46,0.87,7.4,3430,2,25,7,-1.093664958
,0.1145,1,460.343,-1.22,7.5,,2,25,5.5,-0.823908741
,0.1253,0,460.343,-1.22,7.5,,2,25,5.5,-1
0.3,,1,444.44,-1.37,7.7,1690,0.2,25,6,-2.519993057
125,0.263,0,444.44,-1.37,7.7,1690,2,25,,-0.866461092
125,0.263,0,444.44,-1.37,7.7,1690,2,35,,-0.946921557
125,0.263,0,444.44,-1.37,7.7,1690,2,45,,-0.966576245
125,0.263,0,444.44,-1.37,7.7,1690,2,25,,-0.866461092
1,,1,361.368,-0.39,7.9,,0.5,15,,-0.159893906
1,,1,361.368,-0.39,7.9,,0.5,25,,-0.501689446
1,,1,361.368,-0.39,7.9,,0.5,45,,-0.841637508
25,0.621,1,319.33,0.46,8.8,400,5,15,7,-0.684029655
25,0.621,1,319.33,0.46,8.8,400,5,25,7,-0.68613278
25,0.621,1,319.33,0.46,8.8,400,5,35,7,-0.886056648
25,2.27,1,319.33,0.46,8.8,400,5,15,7,-1.060480747
25,2.27,1,319.33,0.46,8.8,400,5,25,7,-1.180456064
25,2.27,1,319.33,0.46,8.8,400,5,35,7,-1.27572413
25,0.265,1,319.33,0.46,8.8,400,5,15,7,-1.387216143
25,0.265,1,319.33,0.46,8.8,400,5,25,7,-1.698970004
25,0.265,1,319.33,0.46,8.8,400,5,35,7,-1.346787486
200,0.543,1,460.343,-1.22,7.5,,3.3,25,,-0.863279433
200,0.7573,0,460.343,-1.22,7.5,,3.3,25,,-1.15490196
200,0.543,1,460.343,-1.22,7.5,,3.3,25,,-0.488116639
200,0.7573,0,460.343,-1.22,7.5,,3.3,25,,-0.193820026
100,0.744,1,460.343,-1.22,7.5,,4.4,25,6.8,-0.671620397
100,0.744,1,319.33,0.46,8.8,400,4.4,25,6.8,-0.879426069
100,0.628,1,460.343,-1.22,7.5,,4.4,25,6.8,-1.13667714
100,0.628,1,319.33,0.46,8.8,400,4.4,25,6.8,-1.102372909
45,2.2,1,444.45,-1.37,7.7,1690,1,25,5,1.164947373
90,0.709,1,419.46,0.87,7.4,3430,1,25,7,-1.167491087
75,0.075,1,419.46,0.87,7.4,3430,1,25,7,-1.552841969
75,0.142,1,419.46,0.87,7.4,3430,1,25,7,-1.318758763
50,0.311,1,419.46,0.87,7.4,3430,1,25,7,-1.387216143
90,0.709,1,311.35,1.32,6.1,19440,1,25,7,-1.318758763
75,0.075,1,311.35,1.32,6.1,19440,1,25,7,-1.292429824
75,0.142,1,311.35,1.32,6.1,19440,1,25,7,-1.319936573
