Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logQmax,
150,0.2341,0,253.28,0.79,5.7,610,2.5,25,,-0.978810701,
28,,1,361.368,-0.39,7.9,,1,25,,0.909435137,
48,,1,361.368,-0.39,7.9,,1,25,,1.098649955,
75,20.1,1,361.368,-0.39,7.9,,1,25,,1.345339417,
250,,1,361.368,-0.39,7.9,,1,25,,1.826963936,
590,,1,361.368,-0.39,7.9,,1,25,,1.959341954,
28,,1,361.37,-0.4,8.15,3230,1,25,,0.904819915,
48,,1,361.37,-0.4,8.15,3230,1,25,,1.134780937,
75,20.1,1,361.37,-0.4,8.15,3230,1,25,,1.416806373,
250,,1,361.37,-0.4,8.15,3230,1,25,,1.980680752,
590,,1,361.37,-0.4,8.15,3230,1,25,,1.173006392,
74,3.85,0,478.88,-0.62,7.4,,2,25,7,0.252853031,
74,1.12,0,478.88,-0.62,7.4,,2,25,7,0.187520721,
74,0.401,1,419.46,0.87,7.4,3430,2,25,7,0.33243846,
,0.1145,1,460.343,-1.22,7.5,,2,25,5.5,-0.159862527,
,0.1253,0,460.343,-1.22,7.5,,2,25,5.5,0.271825349,
0.3,,1,444.44,-1.37,7.7,1690,0.2,25,6,1.748869257,
125,0.263,0,444.44,-1.37,7.7,1690,2,25,,0.527629901,
125,0.263,0,444.44,-1.37,7.7,1690,2,35,,0.629409599,
125,0.263,0,444.44,-1.37,7.7,1690,2,45,,0.726727209,
125,0.263,0,444.44,-1.37,7.7,1690,2,25,,0.527629901,
1,,1,361.368,-0.39,7.9,,0.5,15,,0.364926034,
1,,1,361.368,-0.39,7.9,,0.5,25,,0.393048466,
1,,1,361.368,-0.39,7.9,,0.5,45,,0.380573003,
25,0.621,1,319.33,0.46,8.8,400,5,15,7,-0.209011525,
25,0.621,1,319.33,0.46,8.8,400,5,25,7,-0.120330794,
25,0.621,1,319.33,0.46,8.8,400,5,35,7,-0.034328029,
25,2.27,1,319.33,0.46,8.8,400,5,15,7,-0.21395879,
25,2.27,1,319.33,0.46,8.8,400,5,25,7,-0.154281982,
25,2.27,1,319.33,0.46,8.8,400,5,35,7,-0.078833949,
25,0.265,1,319.33,0.46,8.8,400,5,15,7,-0.63638802,
25,0.265,1,319.33,0.46,8.8,400,5,25,7,-0.35261703,
25,0.265,1,319.33,0.46,8.8,400,5,35,7,-0.289036881,
200,0.543,1,460.343,-1.22,7.5,,3.3,25,,-0.235077015,
200,0.7573,0,460.343,-1.22,7.5,,3.3,25,,0.046495164,
200,0.543,1,460.343,-1.22,7.5,,3.3,25,,-0.008773924,
200,0.7573,0,460.343,-1.22,7.5,,3.3,25,,0.177824972,
100,0.744,1,460.343,-1.22,7.5,,4.4,25,6.8,-0.68613278,
100,0.744,1,319.33,0.46,8.8,400,4.4,25,6.8,-0.71219827,
100,0.628,1,460.343,-1.22,7.5,,4.4,25,6.8,-0.420216403,
100,0.628,1,319.33,0.46,8.8,400,4.4,25,6.8,-0.381951903,0.415
45,2.2,1,444.45,-1.37,7.7,1690,1,25,5,1.0523091,
90,0.709,1,419.46,0.87,7.4,3430,1,25,7,0.222456337,
75,0.075,1,419.46,0.87,7.4,3430,1,25,7,0.412628521,
75,0.142,1,419.46,0.87,7.4,3430,1,25,7,0.260309946,
50,0.311,1,419.46,0.87,7.4,3430,1,25,7,0.215373153,
90,0.709,1,311.35,1.32,6.1,19440,1,25,7,0.739651444,
75,0.075,1,311.35,1.32,6.1,19440,1,25,7,0.729569726,
75,0.142,1,311.35,1.32,6.1,19440,1,25,7,0.751295274,
50,0.311,1,311.35,1.32,6.1,19440,1,25,7,0.695043659,
125,,1,331.341,1.32,6.1,19440,0.4,25,,-0.22608928,
125,,1,290.3212,0.91,6.8,400,0.4,25,,-1.224025669,
160,,1,331.341,1.32,6.1,19440,0.4,25,,-0.361131525,
